timestamp,latitude,longitude,id_indicator,sst_measurement_method,sea_surface_temp
1963-09-27 00:00:00 UTC,32.5,-79.3,9,,26.7
1962-04-19 18:00:00 UTC,32.7,-79.5,10,,25
1954-10-16 06:00:00 UTC,32.3,-79.1,10,,25.6
1963-12-05 06:00:00 UTC,32.5,-79.2,9,,19.4
1968-08-09 03:00:00 UTC,32.2,-80.2,9,0,27.8
1966-01-09 00:00:00 UTC,32.1,-79.5,9,,20.1
1953-02-28 18:00:00 UTC,32.1,-79.4,10,,18.3
1950-12-25 18:00:00 UTC,32.3,-79.5,10,,18.9
1949-11-14 02:00:00 UTC,32.5,-80.5,,,23.3
1944-04-30 17:00:00 UTC,32.5,-80.5,9,,26.7
1934-11-28 01:00:00 UTC,32.5,-79.5,10,10,23.8
1937-01-31 09:00:00 UTC,32.5,-79.5,10,,18.3
1908-10-04 09:00:00 UTC,32.5,-79.5,10,10,23.8
1938-09-25 21:00:00 UTC,32.4,-79.4,,10,26.9
1974-11-24 18:00:00 UTC,32.4,-79.8,2,,15.6
1977-05-24 12:00:00 UTC,32.2,-79.7,1,,24.4
1973-07-25 06:00:00 UTC,32.4,-79.2,1,,22.2
1974-08-26 17:00:00 UTC,32.1,-79.5,1,0,28.2
1971-08-01 00:00:00 UTC,32.5,-80.1,0,,30
1971-07-15 12:00:00 UTC,32.8,-79.1,0,,28.5
1970-08-31 09:00:00 UTC,32.3,-80.2,0,,28.9
1970-01-18 12:00:00 UTC,32.6,-79.6,1,,15.6
1979-02-28 03:00:00 UTC,32.7,-79.2,9,,7
1979-08-28 00:00:00 UTC,33.5,-79.8,1,,28
1984-10-06 12:00:00 UTC,32.1,-79.2,1,,25
1985-04-11 12:00:00 UTC,32.2,-79.2,1,,17.8
1981-12-17 06:00:00 UTC,32.7,-79.4,2,9,19.5
1986-01-29 00:00:00 UTC,32.4,-79.5,1,,18
1984-03-07 06:00:00 UTC,32.3,-79.1,1,0,22.5
1984-07-18 12:00:00 UTC,32.7,-79.1,1,,28.9
1989-06-27 18:00:00 UTC,32.7,-79.7,1,0,28
1986-11-17 09:00:00 UTC,33.2,-79.2,1,,15.5
1986-11-15 15:00:00 UTC,33.2,-79.2,1,,15
1988-01-17 20:00:00 UTC,32.5,-79.1,1,,15
1991-02-28 00:00:00 UTC,32.8,-79.3,1,,13.3
1990-04-20 06:00:00 UTC,32.3,-79.2,1,1,21.1
1987-01-24 06:00:00 UTC,32.3,-79.2,1,,17.8
1986-05-30 00:00:00 UTC,32.8,-79.2,1,,25.1
1993-07-06 18:00:00 UTC,32.5,-79.6,1,,30
1985-08-03 09:00:00 UTC,32.1,-79.6,1,0,26.6
1991-03-30 15:00:00 UTC,32.2,-79.2,1,0,18
1989-04-08 18:00:00 UTC,32.7,-79.1,1,1,21
1991-03-17 18:00:00 UTC,32.2,-79.4,1,0,19.7
1996-04-14 23:49:00 UTC,32.5,-79.1,3,,17.2
1996-01-14 08:49:00 UTC,32.5,-79.1,3,,16.5
1995-12-17 02:49:00 UTC,32.5,-79.1,3,,19.8
1994-07-05 23:49:00 UTC,32.5,-79.1,3,,26.6
1996-06-05 23:49:00 UTC,32.5,-79.1,3,,25.9
1992-08-18 00:13:00 UTC,32.5,-79.1,3,,27.4
1994-10-17 17:49:00 UTC,32.5,-79.1,3,,22.9
1994-12-12 14:49:00 UTC,32.5,-79.1,3,,22
1992-11-20 12:13:00 UTC,32.5,-79.1,3,,22.7
1994-08-19 08:49:00 UTC,32.5,-79.1,3,,26.6
1996-05-07 02:49:00 UTC,32.5,-79.1,3,,20.4
1994-06-22 05:49:00 UTC,32.5,-79.1,3,,26.6
1994-08-18 14:49:00 UTC,32.5,-79.1,3,,26.6
1992-10-24 15:13:00 UTC,32.5,-79.1,3,,24.3
1995-12-08 14:49:00 UTC,32.5,-79.1,3,,23.5
1995-11-21 05:49:00 UTC,32.5,-79.1,3,,22.2
1995-08-19 02:49:00 UTC,32.5,-79.1,3,,29
1995-11-26 02:49:00 UTC,32.5,-79.1,3,,21.2
1994-07-24 11:49:00 UTC,32.5,-79.1,3,,27.6
1993-09-30 05:49:00 UTC,32.5,-79.1,3,,26.6
1996-08-11 08:49:00 UTC,32.5,-79.1,3,,28.4
1995-09-10 23:49:00 UTC,32.5,-79.1,3,,27.3
1996-01-22 14:49:00 UTC,32.5,-79.1,3,,17.5
1994-10-23 17:49:00 UTC,32.5,-79.1,3,,23.5
1993-11-18 17:49:00 UTC,32.5,-79.1,3,,23.9
1994-08-22 20:49:00 UTC,32.5,-79.1,3,,27.1
1995-02-28 14:49:00 UTC,32.5,-79.1,3,,17.2
1995-06-20 08:49:00 UTC,32.5,-79.1,3,,25.3
1995-03-24 23:49:00 UTC,32.5,-79.1,3,,20.3
1992-10-28 06:13:00 UTC,32.5,-79.1,3,,25.8
1961-07-25 00:00:00 UTC,32.2,-79.4,,,29
1856-05-21 21:00:00 UTC,32.12,-79.14,10,,23.3
1995-02-28 18:00:00 UTC,32.2,-79.1,2,,22.8
1997-05-15 07:00:00 UTC,32.9,-80,1,,21.6
1996-04-09 21:00:00 UTC,32.7,-79.5,1,1,13.9
1922-10-17 00:00:00 UTC,32.33,-79.17,10,,24.4
1932-02-29 05:00:00 UTC,32.6,-79.7,9,,15
2000-02-28 19:00:00 UTC,32.5,-79.1,3,1,18.5
2000-02-28 02:00:00 UTC,32.5,-79.1,3,1,18.9
2000-04-23 18:00:00 UTC,32.5,-79.1,3,1,20.4
2000-09-29 09:00:00 UTC,32.5,-79.1,3,1,26.2
2000-11-15 20:00:00 UTC,32.5,-79.1,3,1,24
2000-07-25 04:00:00 UTC,32.5,-79.1,3,1,27.8
